,citystate,pop,lat,lng
6142,Downing MO,851,40.479828,-92.391762
6143,Downing WI,856,45.103032,-92.113384
6144,Downingtown PA,46984,40.016078,-75.718261
6145,Downs KS,1161,39.502753,-98.544117
6146,Downsville LA,3992,32.652508,-92.374471
6147,Downsville NY,1228,42.071634,-75.015216
6148,Downtown PA,3294,40.442111,-80.000556
6149,Dows IA,1007,42.661026,-93.505801
6150,Doyle CA,2197,40.000799,-120.107693
6151,Doyle TN,1340,35.872206,-85.498997
6152,Doylesburg PA,405,40.217195,-77.686203
6153,Doylestown OH,8252,40.965042,-81.684845
6154,Doyline LA,3632,32.490023,-93.399585
6155,Dozier AL,1746,31.506614,-86.366315
6156,Dracut MA,29422,42.676422,-71.318592
6157,Drain OR,2349,43.687659,-123.292922
6158,Drake CO,1010,40.443257,-105.296925
6159,Drake ND,452,47.902431,-100.378955
6160,Drakes Branch VA,1970,36.968767,-78.561542
6161,Drakesboro KY,2026,37.213588,-87.047966
6162,Drakesville IA,830,40.825332,-92.505109
6163,Draper SD,228,43.926035,-100.508514
6164,Draper UT,39765,40.504599,-111.88096
6165,Draper VA,2013,36.969743,-80.818752
6166,Drasco AR,1987,35.661606,-91.939818
6167,Dravosburg PA,1792,40.352676,-79.889461
6168,Drayden MD,348,38.171875,-76.473095
6169,Dresden KS,169,39.609357,-100.411219
6170,Dresden ME,1672,44.078507,-69.745726
6171,Dresden NY,325,42.684565,-76.956389
6172,Dresden TN,6283,36.295042,-88.696291
6173,Dresher PA,5395,40.143141,-75.162379
6174,Dresser WI,2509,45.354585,-92.5623
6175,Drew MS,2932,33.867031,-90.540606
6176,Drewryville VA,788,36.685433,-77.359098
6177,Drewsey OR,176,43.864277,-118.47066
6178,Drexel MO,2193,38.495625,-94.592765
6179,Driftwood PA,328,41.376396,-78.163194
6180,Driftwood TX,3026,30.159351,-98.052372
6181,Driggs ID,3392,43.726291,-111.119896
6182,Dripping Springs TX,14367,30.226768,-98.102947
6183,Driscoll ND,297,46.851139,-100.144063
6184,Driver AR,80,35.559714,-89.960526
6185,Droop WV,1533,38.125942,-80.244578
6186,Drummond Island MI,1058,46.005521,-83.736706
6187,Drummond MT,765,46.664676,-113.242649
6188,Drummond OK,684,36.284142,-98.035846
6189,Drummond WI,412,46.311896,-91.285569
6190,Drummonds TN,6146,35.445203,-89.923649
6191,Drumore PA,1355,39.838399,-76.245684
6192,Drumright OK,3864,35.993136,-96.519789
6193,Drums PA,9020,41.025525,-75.97676
6194,Drury MO,461,36.93193,-92.366396
6195,Dry Branch GA,2541,32.70499,-83.495105
6196,Dry Creek KY,952,37.346979,-82.781036
6197,Dry Creek LA,654,30.735356,-92.988849
6198,Dry Creek WV,230,37.860686,-81.481398
6199,Dry Fork VA,4292,36.743008,-79.457966
6200,Dry Prong LA,4538,31.597921,-92.566479
6201,Dry Ridge KY,10785,38.704854,-84.623736
6202,Dry Run PA,534,40.174744,-77.76457
6203,Dryden MI,5027,42.937772,-83.150066
6204,Dryden NY,5015,42.486118,-76.287224
6205,Dryden TX,23,30.165108,-102.33207
6206,Dryden VA,2222,36.781825,-82.930478
6207,Dryfork WV,316,38.957616,-79.453403
6208,Dryhill KY,3556,37.154604,-83.415668
6209,Du Bois IL,573,38.252638,-89.204187
6210,Du Bois NE,269,40.037486,-96.057477
6211,Du Bois PA,19270,41.126039,-78.752698
6212,Du Pont GA,419,30.999996,-82.855518
6213,Du Quoin IL,9208,38.013687,-89.233268
6214,Duanesburg NY,2310,42.770839,-74.083911
6215,Dubach LA,4280,32.694893,-92.678543
6216,Dubberly LA,1420,32.519164,-93.21419
6217,Dublin CA,46016,37.716597,-121.922589
6218,Dublin NH,1590,42.897198,-72.050538
6219,Dublin OH,37626,40.109297,-83.114633
6220,Dublin PA,2158,40.371996,-75.204453
6221,Dublin TX,9000,32.090873,-98.345469
6222,Dublin VA,11304,37.098879,-80.669696
6223,Dubois ID,860,44.185769,-112.325852
6224,Dubois IN,1897,38.472824,-86.78319
6225,Dubois WY,1879,43.545136,-109.649175
6226,Dubre KY,341,36.891998,-85.568281
6227,Dubuque IA,71168,42.514977,-90.681914
6228,Duchesne UT,3323,39.95398,-110.618094
6229,Duck Hill MS,2363,33.686475,-89.733425
6230,Duck River TN,1208,35.738599,-87.342336
6231,Duck WV,1797,38.564652,-80.976416
6232,Dudley GA,1424,32.525879,-83.089918
6233,Dudley Hill MA,16767,42.047574,-71.839467
6234,Dudley MA,11390,42.048894,-71.893228
6235,Dudley MO,754,36.810981,-90.120974
6236,Dudley NC,11830,35.292564,-78.027274
6237,Dudley PA,302,40.219453,-78.183823
6238,Due West SC,1742,34.334425,-82.400164
6239,Duette FL,7448,27.627738,-81.845058
6240,Duff TN,1456,36.411035,-84.01247
6241,Dugger IN,1691,39.069057,-87.259867
6242,Dugginsville MO,1273,36.569019,-92.701861
6243,Dugspur VA,1039,36.814546,-80.612348
6244,Dugway UT,896,40.526892,-112.872905
6245,Duhring WV,3006,37.38889,-81.218766
6246,Duke Center PA,761,41.954017,-78.492269
6247,Duke MO,105,37.655001,-91.993063
6248,Duke OK,600,34.666769,-99.548172
6249,Dukedom TN,345,36.479645,-88.692553
6250,Dulac LA,1402,29.359814,-90.655655
6251,Dulce NM,3417,36.859808,-107.060179
6252,Duluth KS,1532,39.472974,-96.176105
6253,Duluth MN,80968,46.768475,-92.086497
6254,Dulzura CA,992,32.615172,-116.728523
6255,Dumas AR,6579,33.892102,-91.486056
6256,Dumas MS,1058,34.64915,-88.807229
6257,Dumas TX,16177,35.882315,-101.967984
6258,Dumfries VA,14258,38.602344,-77.338704
6259,Dumont IA,1004,42.736773,-92.967347
6260,Dumont MN,359,45.671742,-96.406123
6261,Dumont NJ,17433,40.944692,-73.992139
6262,Dunbar NE,493,40.659156,-96.013575
6263,Dunbar PA,4744,39.972171,-79.64305
6264,Dunbar WI,1083,45.600944,-88.106669
6265,Dunbar WV,9962,38.368271,-81.742467
6266,Dunbarton NH,13560,43.018224,-71.56264
6267,Duncan Falls OH,1171,39.877777,-81.911665
6268,Duncan MS,466,34.046966,-90.765191
6269,Duncan OK,28434,34.507277,-97.940322
6270,Duncan SC,11331,34.917645,-82.125821
6271,Duncan WV,1071,38.957552,-81.57245
6272,Duncannon PA,9047,40.408678,-77.047254
6273,Duncansville PA,11321,40.426228,-78.43833
6274,Duncanville AL,3759,33.082815,-87.494977
6275,Duncanville TX,38530,32.65873,-96.911392
6276,Duncombe IA,873,42.449303,-94.059212
6277,Dundalk Sparrows MD,65165,39.229068,-76.446937
6278,Dundas IL,649,38.830572,-88.097309
6279,Dundas MN,1817,44.395537,-93.20369
6280,Dundas VA,407,36.90532,-78.010016
6281,Dundee FL,3515,28.019412,-81.621207
6282,Dundee IA,491,42.593979,-91.547697
6283,Dundee IL,15851,42.096197,-88.290202
6284,Dundee KY,88,37.551052,-86.760446
6285,Dundee MI,6764,41.951435,-83.652165
6286,Dundee MS,1353,34.528181,-90.38907
6287,Dundee NY,5648,42.505261,-77.002773
6288,Dundee OH,5397,40.639441,-81.676519
6289,Dundee OR,4139,45.27761,-123.01523
6290,Dunedin FL,37240,28.028382,-82.779434
6291,Dunfermline IL,262,40.490342,-90.031349
6292,Dungannon VA,1129,36.82416,-82.496025
6293,Dunkel IL,7607,39.388124,-89.078165
6294,Dunkerton IA,1804,42.578028,-92.158826
6295,Dunkirk IN,3807,40.388291,-85.225541
6296,Dunkirk MD,6951,38.740763,-76.642658
6297,Dunkirk OH,1479,40.782375,-83.633912
6298,Dunlap CA,464,36.744635,-119.089931
6299,Dunlap IL,9021,40.844417,-89.639655
6300,Dunlap KS,3504,38.667657,-96.497294
6301,Dunlap TN,11174,35.384175,-85.392513
6302,Dunlawton FL,20189,29.152526,-81.022142
6303,Dunlay TX,13701,29.356065,-99.127637
6304,Dunlevy PA,427,40.115077,-79.862703
6305,Dunlow WV,1092,38.02829,-82.38266
6306,Dunmor KY,800,37.083967,-87.00789
6307,Dunmore PA,12218,41.426184,-75.62294
6308,Dunmore WV,503,38.363605,-79.855557
6309,Dunn Center ND,262,47.345265,-102.589198
6310,Dunn Loring VA,2362,38.895368,-77.221351
6311,Dunn NC,24908,35.316511,-78.615079
6312,Dunnegan MO,887,37.703137,-93.521605
6313,Dunnell MN,398,43.553052,-94.787558
6314,Dunnigan CA,1491,38.893671,-121.996577
6315,Dunning NE,299,41.813107,-100.087271
6316,Dunnville KY,1524,37.176894,-84.929507
6317,Dunsmuir CA,2310,41.212439,-122.273397
6318,Dunstable MA,3179,42.673917,-71.495201
6319,Dunwoody GA,33617,33.944313,-84.316529
6320,Dupo IL,4954,38.514771,-90.194188
6321,Dupont IN,1167,38.890504,-85.509205
6322,Dupree SD,1042,45.007851,-101.63368
6323,Duquesne PA,5565,40.370449,-79.852244
6324,Durand IL,2620,42.433653,-89.309378
6325,Durand MI,8944,42.91171,-83.987651
6326,Durand WI,4127,44.630042,-91.929476
6327,Durango CO,28308,37.287388,-107.861684
6328,Durango IA,1158,42.552564,-90.860794
6329,Durant IA,2106,41.614513,-90.909988
6330,Durant MS,3620,33.082756,-89.86116
6331,Durant OK,22365,34.00609,-96.384705
6332,Durants Neck NC,11909,36.177058,-76.424299
6333,Durbin ND,1168,46.867546,-97.051366
6334,Durbin WV,642,38.616313,-79.793464
6335,Durham CA,3787,39.641599,-121.791983
6336,Durham CT,7388,41.464951,-72.68752
6337,Durham KS,300,38.503836,-97.255532
6338,Durham MO,466,39.962486,-91.670415
6339,Durham NC,209082,35.996725,-78.896613
6340,Durham NY,339,42.402037,-74.184926
6341,Durham OK,187,35.836391,-99.908774
6342,Durhamville NY,1582,43.157912,-75.671409
6343,Duryea PA,4345,41.348557,-75.761104
6344,Dushore PA,2426,41.523213,-76.402145
6345,Duson LA,11752,30.191216,-92.152455
6346,Dustin OK,770,35.251937,-96.057271
6347,Dutch Flat CA,382,39.197788,-120.826224
6348,Dutch Harbor AK,152,53.362757,-167.510656
6349,Dutch John UT,266,40.932244,-109.354255
6350,Dutton AL,2570,34.604558,-85.906729
6351,Dutton MI,20074,42.796395,-85.562167
6352,Dutton MT,594,47.860082,-111.689967
6353,Dutton VA,598,37.486897,-76.435782
6354,Duvall WA,10725,47.724987,-121.936906
6355,Duxbury MA,15059,42.039936,-70.716257
6356,Dwight IL,6102,41.088701,-88.415884
6357,Dwight KS,485,38.838902,-96.580215
6358,Dwight ND,9276,46.279842,-96.633934
6359,Dwight NE,491,41.089388,-96.993143
6360,Dyer IN,20816,41.491976,-87.510803
6361,Dyer TN,4404,36.071578,-89.019226
6362,Dyersburg TN,27406,36.044447,-89.383644
6363,Dyersville IA,5526,42.483332,-91.118265
6364,Dyess Afb TX,2865,32.418956,-99.82214
6365,Dyess AR,756,35.595394,-90.215716
6366,Dysart IA,2016,42.169017,-92.318731
6367,Dysart PA,742,40.60885,-78.527072
6368,E Town KY,48194,37.706973,-85.858977
6369,E View KY,2120,37.61478,-86.119153
6370,Eads TN,6883,35.15512,-89.676004
6371,Eagan MN,68589,44.873825,-93.12902
6372,Eagar AZ,4893,33.954571,-109.246933
6373,Eagle Bay NY,189,43.723659,-74.965381
6374,Eagle Bend MN,1597,46.117017,-95.096061
6375,Eagle City OK,260,35.921429,-98.708058
6376,Eagle CO,8215,39.634138,-106.75884
6377,Eagle Creek IN,62401,39.792678,-86.289952
6378,Eagle Creek OR,3722,45.358205,-122.338053
6379,Eagle Grove IA,4130,42.660867,-93.904872
6380,Eagle Harbor MI,1121,47.320067,-88.332572
6381,Eagle ID,22780,43.706879,-116.361966
6382,Eagle Lake FL,2756,27.978661,-81.756357
6383,Eagle Lake MN,2759,44.154587,-93.871912
6384,Eagle Lake TX,4816,29.584236,-96.335367
6385,Eagle MI,2714,42.826306,-84.758971
6386,Eagle Mountain CA,223,33.604941,-115.052603
6387,Eagle NE,2570,40.816909,-96.428965
6388,Eagle Nest NM,467,36.53255,-105.275561
6389,Eagle Pass TX,53040,28.702786,-100.48176
6390,Eagle Point OR,14459,42.493467,-122.808802
6391,Eagle River AK,25771,61.311357,-149.508515
6392,Eagle River WI,7509,45.916084,-89.253058
6393,Eagle Rock MO,1250,36.548035,-93.733609
6394,Eagle Rock VA,2182,37.666727,-79.817215
6395,Eagle Springs NC,2100,35.335957,-79.630983
6396,Eagle WI,5608,42.880942,-88.46742
6397,Eagletown OK,1087,34.036358,-94.559557
6398,Eagleville MO,882,40.491197,-93.995058
6399,Eagleville PA,44260,40.14335,-75.384672
6400,Eagleville TN,2230,35.749243,-86.632652
6401,Earl Park IN,660,40.694465,-87.423199
6402,Earl WI,1055,45.960384,-91.677734
6403,Earle AR,3184,35.27989,-90.450261
6404,Earleton FL,291,29.722159,-82.113762
6405,Earleville MD,3467,39.427105,-75.94031
6406,Earlham IA,2671,41.470916,-94.129443
6407,Earlimart CA,10194,35.854195,-119.253406
6408,Earling IA,3055,41.827063,-95.340293
6409,Earling WV,834,37.774266,-81.929291
6410,Earlington KY,1460,37.267899,-87.522679
6411,Earlsboro OK,1924,35.262792,-96.804093
6412,Earlton NY,1445,42.352689,-73.906222
6413,Earlville IA,1608,42.500101,-91.259658
6414,Earlville IL,3580,41.585901,-88.910346
6415,Earlville NY,2460,42.752218,-75.541653
6416,Early Branch SC,1533,32.628893,-81.030011
6417,Early IA,885,42.448258,-95.172569
6418,Early TX,25552,31.704658,-98.975164
6419,Earlysville VA,4853,38.157761,-78.491945
6420,Earth TX,1425,34.241521,-102.421284
6421,Easley SC,60135,34.829031,-82.579552
6422,East Alton IL,9775,38.88031,-90.083045
6423,East Andover ME,190,44.603011,-70.729555
6424,East Andover NH,202,43.47766,-71.759606
6425,East Arlington VT,274,43.063801,-73.138904
6426,East Aurora NY,17329,42.770138,-78.601992
6427,East Baldwin ME,608,43.864604,-70.692159
6428,East Barre VT,574,44.158277,-72.446003
6429,East Bend NC,7655,36.203152,-80.528405
6430,East Berkshire VT,79,44.929798,-72.706564
6431,East Berlin CT,1296,41.61277,-72.719007
6432,East Berlin PA,8266,39.964546,-77.007252
6433,East Bernard TX,4539,29.470458,-96.121115
6434,East Berne NY,1632,42.61913,-74.055488
6435,East Bethany NY,1344,42.916619,-78.134206
6436,East Bethel MN,15262,45.394114,-93.233088
6437,East Boothbay ME,724,43.826241,-69.593903
6438,East Boston MA,40508,42.378137,-71.028682
6439,East Brady PA,1886,40.974373,-79.630187
6440,East Branch NY,613,41.984366,-75.125189
6441,East Brewton AL,16202,31.118926,-87.067325
6442,East Bridgewater MA,13794,42.031478,-70.944964
6443,East Brookfield MA,2183,42.219308,-72.048078
6444,East Brunswick NJ,46298,40.428395,-74.406381
6445,East Burke VT,982,44.607849,-71.935674
6446,East Calais VT,1123,44.355599,-72.439829
6447,East Cambridge MA,11910,42.370701,-71.088277
6448,East Camden AR,20286,33.575866,-92.833386
6449,East Canaan CT,647,42.011686,-73.278462
6450,East Canton OH,6050,40.784983,-81.278295
6451,East Carbon UT,1302,39.546088,-110.411308
6452,East Carondelet IL,1966,38.534912,-90.220782
6453,East Cedar Lake IN,14170,41.377338,-87.444509
6454,East Charleston VT,273,44.829896,-71.97627
6455,East Chatham NY,1507,42.433028,-73.49026
6456,East Chicago IN,29698,41.634893,-87.462734
6457,East Cleveland OH,23073,41.535517,-81.576262
6458,East Concord NY,1405,42.546585,-78.610972
6459,East Corinth ME,2858,44.983655,-69.008532
6460,East Corinth VT,471,44.061851,-72.215144
6461,East Dorset VT,685,43.236982,-73.008146
6462,East Douglas MA,8500,42.060566,-71.726611
6463,East Dover VT,407,42.950508,-72.783032
6464,East Dublin GA,28549,32.547794,-82.90368
6465,East Dubuque IL,4867,42.487488,-90.604597
6466,East Durham NY,1097,42.385978,-74.11169
6467,East Earl PA,6824,40.139475,-76.027634
6468,East Eddington ME,3146,44.820642,-68.61883
6469,East Elmhurst NY,78303,40.761254,-73.873902
6470,East Fairfield VT,1134,44.801805,-72.910995
6471,East Fayettevill NC,17165,35.05099,-78.842255
6472,East Flat Rock NC,3203,35.279868,-82.420423
6473,East Freedom PA,2873,40.328197,-78.447519
6474,East Freetown MA,4745,41.763455,-70.967709
6475,East Glacier Par MT,463,48.45998,-113.317304
6476,East Granby CT,5117,41.932215,-72.745889
6477,East Grand Forks MN,10096,47.931802,-97.021262
6478,East Greenbush NY,9050,42.595096,-73.682644
6479,East Greenville PA,5424,40.411876,-75.505618
6480,East Greenwich RI,18082,41.649777,-71.474009
6481,East Gulf WV,311,37.628587,-81.294753
6482,East Gull Lake MN,29439,46.357219,-94.201873
6483,East Haddam CT,5097,41.469575,-72.405876
6484,East Hampstead NH,2470,42.887656,-71.127978
6485,East Hampton CT,12808,41.576058,-72.509345
6486,East Hampton NY,15398,40.992964,-72.178958
6487,East Hanover NJ,11157,40.819165,-74.36357
6488,East Hardwick VT,1068,44.528833,-72.303351
6489,East Hartford CT,51263,41.780291,-72.618014
6490,East Hartland CT,1492,42.001617,-72.924213
6491,East Haven CT,68839,41.280522,-72.874144
6492,East Haven VT,353,44.651724,-71.867491
6493,East Helena MT,7282,46.597324,-111.905089
6494,East Hickory PA,76,41.5691,-79.385483
6495,East Highland CA,54923,34.126969,-117.208717
6496,East Holden ME,4717,44.742209,-68.648307
6497,East Islip NY,14712,40.72816,-73.180471
6498,East Jewett NY,250,42.280567,-74.207981
6499,East Jordan MI,7145,45.153858,-85.138655
6500,East Killingly CT,60,41.848756,-71.798534
6501,East Lake NC,1021,35.887191,-75.944404
6502,East Lansing MI,51302,42.738805,-84.476409
6503,East Lempster NH,1160,43.21863,-72.166205
6504,East Leroy MI,2436,42.196125,-85.231083
6505,East Liberty OH,1040,40.307682,-83.586221
6506,East Liberty PA,28615,40.468885,-79.919267
6507,East Livermore ME,6,44.399402,-70.130334
6508,East Longmeadow MA,15720,42.067203,-72.505565
6509,East Los Angeles CA,67179,34.023638,-118.155319
6510,East Lyme CT,6607,41.366806,-72.232987
6511,East Lynn MA,18203,42.487453,-70.962798
6512,East Lynn WV,1237,38.199474,-82.327931
6513,East Machias ME,1398,44.742362,-67.382066
6514,East Marion NY,926,41.126425,-72.34186
6515,East Mc Dowell KY,1815,37.425232,-82.745018
6516,East Mc Keesport PA,2129,40.383944,-79.807881
6517,East Meadow NY,38132,40.714915,-73.556088
6518,East Meredith NY,1045,42.410098,-74.898699
6519,East Millinocket ME,1728,45.629967,-68.572822
6520,East Millsboro PA,741,39.982214,-79.966442
6521,East Moline IL,24053,41.511804,-90.432118
6522,East Montpelier VT,1546,44.282844,-72.492636
6523,East Moriches NY,5210,40.808975,-72.753778
6524,East Nassau NY,1776,42.535215,-73.498407
6525,East New Market MD,2731,38.592095,-75.956766
6526,East Norwich NY,3430,40.847162,-73.534876
6527,East Orange NJ,64267,40.769614,-74.207723
6528,East Orland ME,81,44.57249,-68.70174
6529,East Orwell OH,5141,41.533456,-80.839671
6530,East Otto NY,948,42.3971,-78.743167
6531,East Palatka FL,4701,29.660861,-81.587879
6532,East Palestine OH,7261,40.840554,-80.546513
6533,East Palo Alto CA,45467,37.455641,-122.131902
6534,East Peoria IL,25268,40.673121,-89.55141
6535,East Petersburg PA,4686,40.100781,-76.351169
6536,East Pittsburgh PA,3292,40.403577,-79.83889
6537,East Point GA,31776,33.676214,-84.457292
6538,East Point KY,1297,37.708578,-82.828801
6539,East Prairie MO,5814,36.777609,-89.372629
6540,East Providence RI,21963,41.813777,-71.368785
6541,East Quogue NY,4603,40.84277,-72.581297
6542,East Rancho Domi CA,53704,33.897324,-118.203724
6543,East Randolph VT,354,43.955297,-72.548746
6544,East Ridge TN,20951,34.996726,-85.237957
6545,East Rochester NH,5323,43.31256,-70.968581
6546,East Rochester NY,8019,43.112808,-77.490596
6547,East Rochester OH,1418,40.756288,-81.01749
6548,East Rockaway NY,10549,40.640445,-73.667376
6549,East Rutherford NJ,8913,40.838527,-74.104069
6550,East Saint Louis IL,17538,38.599191,-90.074449
6551,East Sandwich MA,6293,41.684603,-70.46822
6552,East Smithfield PA,306,41.863115,-76.617207
6553,East Sparta OH,2977,40.697065,-81.368728
6554,East Springfield NY,62,42.832947,-74.759741
6555,East Springfield PA,1477,41.979363,-80.430336
6556,East Stoneham ME,236,44.238201,-70.852936
6557,East Stroudsburg PA,28561,41.036714,-75.173463
6558,East Sullivan NH,691,42.994005,-72.191778
6559,East Swanzey NH,6285,42.884137,-72.249298
6560,East Syracuse NY,14992,43.073359,-76.05578
6561,East Taunton MA,6655,41.873585,-71.019225
6562,East Tawas MI,4716,44.300823,-83.477629
6563,East Texas Cente TX,7156,32.389193,-95.244354
6564,East Thetford VT,937,43.825757,-72.19668
6565,East Troy WI,9679,42.803531,-88.409215
6566,East Wakefield NH,1610,43.641022,-71.007712
6567,East Wallingford VT,597,43.446063,-72.884375
6568,East Walpole MA,4226,42.15324,-71.2179
6569,East Wareham MA,3603,41.768247,-70.653237
6570,East Waterboro ME,2208,43.599537,-70.690626
6571,East Waterford PA,1088,40.354191,-77.652789
6572,East Wenatchee WA,28719,47.418596,-120.273136
6573,East White Plain NY,11250,41.043295,-73.750727
6574,East Windham NY,305,42.259032,-74.213063
6575,East Windsor CT,4936,41.9099,-72.602945
6576,East Worcester NY,563,42.621423,-74.676348
6577,East York PA,36360,39.971508,-76.674578
6578,Eastaboga AL,4247,33.603132,-85.96075
6579,Eastampton Twp NJ,24713,39.993028,-74.795522
6580,Eastanollee GA,2854,34.50366,-83.258685
6581,Eastborough KS,42164,37.699622,-97.239253
6582,Eastchester NY,9292,40.954966,-73.80858
6583,Eastern KY,228,37.532386,-82.826496
6584,Eastford CT,1408,41.877104,-72.089451
6585,Eastham MA,4937,41.840781,-69.984865
6586,Eastland TX,5628,32.399418,-98.807101
6587,Eastman GA,15383,32.208425,-83.185959
6588,Eastman WI,1215,43.19592,-91.01927
6589,Easton CA,41087,36.700589,-119.820408
6590,Easton CT,7453,41.252328,-73.287108
6591,Easton KS,1442,39.362054,-95.054352
6592,Easton MD,23597,38.77682,-76.075775
6593,Easton ME,1287,46.635697,-67.901777
6594,Easton MN,507,43.758126,-93.933994
6595,Easton MO,1096,39.751709,-94.658194
6596,Eastover SC,5652,33.915274,-80.699647
6597,Eastpointe MI,32353,42.465756,-82.945896
6598,Eastport ME,1331,44.919966,-67.00739
6599,Eastport NY,1986,40.809947,-72.705388
6600,Eastsound WA,3651,48.665554,-122.937045
6601,Eaton CO,7482,40.527272,-104.714559
6602,Eaton IN,2827,40.337673,-85.354387
6603,Eaton NY,1374,42.848417,-75.631359
6604,Eaton OH,15691,39.742572,-84.650849
6605,Eaton Rapids MI,15971,42.516624,-84.656545
6606,Eatonton GA,20039,33.312723,-83.36277
6607,Eatontown NJ,21710,40.302815,-74.06978
6608,Eatonville FL,19928,28.631284,-81.354598
6609,Eatonville WA,10433,46.870778,-122.269626
6610,Eau Claire MI,3346,42.015134,-86.297154
6611,Eau Claire PA,316,41.13478,-79.798093
6612,Eau Claire WI,81075,44.783972,-91.487686
6613,Eau Galle WI,487,44.721433,-92.040816
6614,Eau Gallie FL,17338,28.136822,-80.691683
6615,Eben Junction MI,299,46.351726,-87.032799
6616,Ebensburg PA,9148,40.480105,-78.726294
6617,Ebony VA,356,36.584993,-77.999431
6618,Ebro FL,679,30.435181,-85.888066
6619,Echo Lake CA,37,38.810254,-120.070498
6620,Echo MN,600,44.631046,-95.418223
6621,Echo OR,1085,45.74109,-119.194904
6622,Echola AL,82,33.316559,-87.807202
6623,Eckard IL,5385,40.295995,-90.04952
6624,Eckerman MI,334,46.346638,-85.162606
6625,Eckert CO,1714,38.844982,-107.962452
6626,Eckerty IN,805,38.318548,-86.605939
6627,Eckley CO,425,40.113775,-102.482776
6628,Eclectic AL,5428,32.65419,-86.031614
6629,Economy IN,669,39.971215,-85.087803
6630,Ecorse MI,9556,42.251881,-83.148943
6631,Ecru MS,2775,34.337106,-88.955956
6632,Ector TX,868,33.581913,-96.273533
6633,Eddy TX,2867,31.326724,-97.270926
6634,Eddyville IA,1745,41.153266,-92.622052
6635,Eddyville IL,293,37.52439,-88.594893
6636,Eddyville KY,5298,37.066385,-88.04939
6637,Eddyville NE,226,41.0079,-99.681009
6638,Eddyville NY,35040,41.930126,-74.023575
6639,Eddyville OR,434,44.637139,-123.753096
6640,Edelstein IL,1088,40.945367,-89.585812
6641,Eden AZ,21,33.028629,-109.953682
6642,Eden ID,918,42.580374,-114.162762
6643,Eden MD,1930,38.276155,-75.648167
6644,Eden Mills VT,547,44.693123,-72.513447
6645,Eden NC,24071,36.500003,-79.758998
6646,Eden NY,8116,42.650552,-78.878077
6647,Eden Prairie MN,84730,44.933318,-93.416452
6648,Eden SD,299,45.621074,-97.374091
6649,Eden TX,3188,31.219219,-99.840658
6650,Eden UT,4111,41.330279,-111.855765
6651,Eden Valley MN,2118,45.302006,-94.603911
6652,Eden VT,776,44.734267,-72.5863
6653,Eden WI,2027,43.695878,-88.326607
6654,Edenton NC,12562,36.090777,-76.622384
6655,Edgar NE,750,40.365166,-97.972679
6656,Edgar Springs MO,1593,37.736505,-91.890579
6657,Edgard LA,2481,30.031863,-90.581678
6658,Edgartown MA,4067,41.388856,-70.533893
6659,Edgecomb ME,1249,43.979179,-69.619742
6660,Edgefield SC,8535,33.805553,-81.96602
6661,Edgemont AR,881,35.623006,-92.199471
6662,Edgemont SD,1327,43.287361,-103.811018
6663,Edgemoor DE,39060,39.771913,-75.494592
6664,Edgemoor SC,2317,34.797006,-80.989095
6665,Edgerton KS,2612,38.781084,-95.009377
6666,Edgerton MN,1984,43.882419,-96.146333
6667,Edgerton MO,1340,39.474213,-94.635217
6668,Edgerton OH,3744,41.442496,-84.734937
6669,Edgerton WI,11512,42.838605,-89.064157
6670,Edgewater Beach MD,20618,38.922511,-76.540374
6671,Edgewater CO,24821,39.746931,-105.062036
6672,Edgewater FL,24868,28.981801,-80.910344
6673,Edgewater NJ,11513,40.831654,-73.973821
6674,Edgewater OH,52244,41.482654,-81.797143
6675,Edgewood CA,6630,41.439466,-122.384803
6676,Edgewood IA,1999,42.654098,-91.394951
6677,Edgewood MD,24420,39.427725,-76.30555
6678,Edgewood NM,13105,35.077603,-106.187207
6679,Edgewood TX,3722,32.700326,-95.878011
6680,Edina MN,62505,44.915366,-93.318187
6681,Edina MO,1916,40.179452,-92.145549
6682,Edinboro PA,10480,41.875629,-80.135604
6683,Edinburg IL,1792,39.661223,-89.377884
6684,Edinburg MS,16569,32.788635,-89.535274
6685,Edinburg NY,3516,43.237126,-74.168361
6686,Edinburg PA,3074,41.027614,-80.463178
6687,Edinburg TX,30783,26.304221,-98.156922
6688,Edinburg VA,6018,38.843206,-78.60033
6689,Edinburgh IN,8127,39.362601,-85.970712
6690,Edison NE,243,40.280176,-99.785988
6691,Edison NJ,100058,40.517079,-74.397286
6692,Edison OH,1588,40.590475,-82.902301
6693,Edisto Island SC,2408,32.548572,-80.30701
6694,Edmeston NY,1590,42.730281,-75.252522
6695,Edmond OK,83805,35.621534,-97.473268
6696,Edmond WV,391,38.054441,-81.032634
6697,Edmonds WA,35921,47.823324,-122.334463
6698,Edmondson AR,104,35.022309,-90.328672
6699,Edmore MI,3254,43.411578,-85.028003
6700,Edmore ND,341,48.43084,-98.445756
6701,Edmunds ND,271,47.165715,-99.002041
6702,Edna KS,969,37.056146,-95.344159
6703,Edna TX,8187,28.952714,-96.648766
6704,Edom TX,4002,32.290514,-95.62289
6705,Edon OH,2726,41.584219,-84.757002
6706,Edson KS,149,39.357873,-101.520999
6707,Edwall WA,641,47.537896,-117.907095
6708,Edward NC,358,35.323588,-76.879388
6709,Edwards IL,2668,40.764362,-89.705344
6710,Edwards MO,1996,38.190564,-93.147104
6711,Edwards MS,4338,32.316008,-90.598392
6712,Edwards NY,1092,44.311048,-75.252226
